coords,index,Value,coords,scaled_value,lat,long
"(48.0706512, 17.1174968)",16575304080,138698.985,"(48.0706512, 17.1174968)",0.19313089117445456,48.0706512,17.1174968
"(48.1110236, 17.0904118)",51600709920,716245.169,"(48.1110236, 17.0904118)",1.0,48.1110236,17.0904118
"(48.1244184, 17.1007409)",80437526160,257382.7,"(48.1244184, 17.1007409)",0.35893966284864337,48.1244184,17.1007409
"(48.1260838, 17.0986477)",1505372020,1898.308,"(48.1260838, 17.0986477)",0.0020115601224442404,48.1260838,17.0986477
"(48.1370113, 17.2151462)",22100393760,582711.3,"(48.1370113, 17.2151462)",0.8134446095170511,48.1370113,17.2151462
"(48.140197, 17.1098657)",59564898960,265601.79,"(48.140197, 17.1098657)",0.37042225940521056,48.140197,17.1098657
"(48.1408272, 17.1117634)",33781065360,194220.2,"(48.1408272, 17.1117634)",0.27069759407896465,48.1408272,17.1117634
"(48.1410817, 17.1168704)",9208494480,163454.99,"(48.1410817, 17.1168704)",0.22771661997987727,48.1410817,17.1168704
"(48.1414728, 17.1067013)",52198089360,181270.51,"(48.1414728, 17.1067013)",0.25260604552521804,48.1414728,17.1067013
"(48.1415521, 17.1161561)",58337097360,246610.94,"(48.1415521, 17.1161561)",0.3438908223706624,48.1415521,17.1161561
"(48.1415748, 17.1083112)",50970287760,154800.408,"(48.1415748, 17.1083112)",0.21562561313219353,48.1415748,17.1083112
"(48.1426935, 17.1354581)",103765756560,245300.532,"(48.1426935, 17.1354581)",0.3420600982408015,48.1426935,17.1354581
"(48.1426971, 17.0985683)",62020502160,124868.564,"(48.1426971, 17.0985683)",0.17380890485352668,48.1426971,17.0985683
"(48.1437202, 17.1059515)",23958652560,82742.84,"(48.1437202, 17.1059515)",0.11495656312891946,48.1437202,17.1059515
"(48.1444923, 17.1412641)",44831279760,72473.776,"(48.1444923, 17.1412641)",0.1006100212458681,48.1444923,17.1412641
"(48.1445407, 17.103349)",119743716240,152617.628,"(48.1445407, 17.103349)",0.21257612929496292,48.1445407,17.103349
"(48.1445542, 17.1124237)",55881494160,343150.35,"(48.1445542, 17.1124237)",0.47876257786172444,48.1445542,17.1124237
"(48.144787, 17.1138734)",53425890960,36650.248,"(48.144787, 17.1138734)",0.05056225205768664,48.144787,17.1138734
"(48.1454062, 17.1009286)",95171145360,102476.504,"(48.1454062, 17.1009286)",0.14252575902467615,48.1454062,17.1009286
"(48.1462289, 17.1094371)",57109295760,91814.804,"(48.1462289, 17.1094371)",0.12763067943470294,48.1462289,17.1094371
"(48.1465984, 17.1391963)",66931708560,52985.748,"(48.1465984, 17.1391963)",0.07338399461675392,48.1465984,17.1391963
"(48.1468632, 17.0528946)",5525089680,42604.416000000005,"(48.1468632, 17.0528946)",0.05888060712789794,48.1468632,17.0528946
"(48.1475857, 17.1244641)",21503049360,114662.984,"(48.1475857, 17.1244641)",0.1595510541953916,48.1475857,17.1244641
"(48.1482622, 17.1186945)",4297288080,105567.24,"(48.1482622, 17.1186945)",0.14684371570246635,48.1482622,17.1186945
"(48.1484673, 17.1297099)",63248303760,161908.724,"(48.1484673, 17.1297099)",0.225556387077313,48.1484673,17.1297099
"(48.1490835, 17.0635728)",22730850960,125597.952,"(48.1490835, 17.0635728)",0.17482790673052298,48.1490835,17.0635728
"(48.1494652, 17.0858292)",102537954960,114397.548,"(48.1494652, 17.0858292)",0.15918022305720123,48.1494652,17.0858292
"(48.149774, 17.0898505)",87804335760,34898.724,"(48.149774, 17.0898505)",0.048115260547538334,48.149774,17.0898505
"(48.1498788, 17.0447397)",7980692880,51240.532,"(48.1498788, 17.0447397)",0.07094581578770276,48.1498788,17.0447397
"(48.1504527, 17.1346739)",27642057360,197633.2,"(48.1504527, 17.1346739)",0.2754657742604159,48.1504527,17.1346739
"(48.1506028, 17.1174574)",41147874960,237373.4,"(48.1506028, 17.1174574)",0.3309853857596565,48.1506028,17.1174574
"(48.1510947, 17.1048965)",37464470160,139058.25,"(48.1510947, 17.1048965)",0.1936328074513046,48.1510947,17.1048965
"(48.1517988, 17.1269802)",1841684880,37486.968,"(48.1517988, 17.1269802)",0.051731203631499675,48.1517988,17.1269802
"(48.1519913, 17.1204768)",54653692560,75873.02,"(48.1519913, 17.1204768)",0.1053589834119147,48.1519913,17.1204768
"(48.1524769, 17.1242615)",19030907280,137142.06,"(48.1524769, 17.1242615)",0.19095576696437375,48.1524769,17.1242615
"(48.1527827, 17.1020875)",43603478160,97031.052,"(48.1527827, 17.1020875)",0.1349181128759964,48.1527827,17.1020875
"(48.1539115, 17.106044)",30097660560,71246.72,"(48.1539115, 17.106044)",0.09889574521283827,48.1539115,17.106044
"(48.1539406, 17.1461657)",97626748560,167482.828,"(48.1539406, 17.1461657)",0.2333437683319711,48.1539406,17.1461657
"(48.1542996, 17.1165186)",101310153360,78241.868,"(48.1542996, 17.1165186)",0.10866841619435548,48.1542996,17.1165186
"(48.1543346, 17.1321106)",108676962960,193532.92,"(48.1543346, 17.1321106)",0.2697374197821268,48.1543346,17.1321106
"(48.154391, 17.1347438)",42375676560,143627.6,"(48.154391, 17.1347438)",0.20001648284307555,48.154391,17.1347438
"(48.1548416, 17.0582686)",81665327760,132692.91,"(48.1548416, 17.0582686)",0.1847400186917972,48.1548416,17.0582686
